city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,3702301,302 S ANAHEIM BLVD,1,12,0,12,12,0,12,0,,,,,,2013,0,by right change,,
Anaheim,3702302,108 E BROADWAY,1,12,0,12,12,0,12,0,,,,,,2013,0,by right change,,
Anaheim,3702303,112 E BROADWAY,1,12,0,12,12,0,12,0,,,,,,2013,0,by right change,,
Anaheim,3702304,120 E BROADWAY,1,24,0,24,24,0,24,0,,,,,,2013,0,by right change,,
Anaheim,3702411,275 E SANTA ANA ST,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,3708101,800 S ANAHEIM BLVD,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3709105,874 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3709109,890 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3709125,896 S ANAHEIM BLVD,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3709127,870 S ANAHEIM BLVD,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3711129,424 S PHILADELPHIA ST,1,12,0,12,12,0,12,0,,,,,,2013,0,by right change,,
Anaheim,3711130,423 S OLIVE ST,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3711425,426 S Atchison St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3711428,425 S Atchison St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3711435,366 S Atchison St,1,3,0,3,3,0,3,0,,,,,,2013,0,by right change,,
Anaheim,3711437,414 S Atchison St,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3711438,424 S ATCHISON ST,1,54,0,54,54,0,54,0,,,,,,2013,0,by right change,,
Anaheim,3711439,425 S ATCHISON ST,1,32,0,32,32,0,32,0,,,,,,2013,0,by right change,,
Anaheim,3713015,933 E SOUTH ST,1,83,0,83,83,0,83,0,,,,,,2013,0,by right change,,
Anaheim,3713017,621 S EAST ST,1,18,0,18,18,0,18,0,,,,,,2013,0,by right change,,
Anaheim,3713021,707 S EAST ST,1,32,0,32,32,0,32,0,,,,,,2013,0,by right change,,
Anaheim,3713025,1017 E SOUTH ST,1,5,0,5,5,0,5,0,,,,,,2013,0,by right change,,
Anaheim,3713026,1027 E SOUTH ST,1,7,0,7,7,0,7,0,,,,,,2013,0,by right change,,
Anaheim,3713027,727 S EAST ST,1,9,0,9,9,0,9,0,,,,,,2013,0,by right change,,
Anaheim,3713028,601 S EAST ST,1,14,0,14,14,0,14,0,,,,,,2013,0,by right change,,
Anaheim,3713028,601 S EAST ST,1,43,0,43,43,0,43,0,,,,,,2013,0,by right change,,
Anaheim,3713029,801 E SOUTH ST,1,75,0,75,75,0,75,0,,,,,,2013,0,by right change,,
